Month,WeekOfMonth,DayOfWeek,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,Age,Fault,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,Make_Accura,Make_BMW,Make_Chevrolet,Make_Dodge,Make_Ferrari,Make_Ford,Make_Honda,Make_Jaguar,Make_Lexus,Make_Mazda,Make_Mecedes,Make_Mercury,Make_Nisson,Make_Pontiac,Make_Porche,Make_Saab,Make_Saturn,Make_Toyota,Make_VW,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widow,PolicyType_Sedan - All Perils,PolicyType_Sedan - Collision,PolicyType_Sedan - Liability,PolicyType_Sport - All Perils,PolicyType_Sport - Collision,PolicyType_Sport - Liability,PolicyType_Utility - All Perils,PolicyType_Utility - Collision,PolicyType_Utility - Liability,VehicleCategory_Sedan,VehicleCategory_Sport,VehicleCategory_Utility,BasePolicy_All Perils,BasePolicy_Collision,BasePolicy_Liability,FraudFound_P
5,4,6,1,1,5,5,0,44.0,0,2,9,400,3,4,3,1,7,5,0,0,1,0,0,0,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9,3,7,1,6,10,3,0,39.0,1,0,16,400,4,4,3,0,7,5,0,0,1,0,0,2,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7,5,1,1,3,8,1,0,77.0,1,5,9,400,1,4,3,2,8,8,0,0,1,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,1,6,1,2,3,4,0,34.0,1,3,4,400,3,4,3,3,7,4,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,3,6,1,1,1,3,0,24.0,1,1,4,400,1,4,3,0,6,3,0,0,1,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,2,6,1,5,9,2,0,31.0,1,0,11,400,2,4,3,2,7,4,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,3,1,1,2,9,3,0,37.0,1,1,12,400,3,4,3,2,7,5,0,0,1,4,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,2,1,1,5,10,2,1,40.0,1,0,12,400,3,4,3,0,7,5,0,0,1,2,0,0,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,4,6,0,1,1,4,1,33.0,0,5,3,400,1,4,3,1,7,4,0,0,1,4,0,2,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,3,1,1,1,3,3,0,41.0,1,2,3,400,4,4,3,2,7,5,0,0,1,4,0,0,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7,4,1,1,3,7,4,1,31.0,1,1,10,400,3,4,3,2,7,4,1,0,1,1,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,4,5,1,1,1,5,0,37.0,1,5,12,400,4,4,3,2,7,5,0,0,1,0,0,0,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
6,2,4,1,3,6,3,0,51.0,1,2,4,400,2,4,3,0,8,6,0,0,1,0,0,0,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,2,6,0,2,8,5,0,49.0,1,5,1,400,4,4,3,0,8,6,0,0,1,4,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
12,3,7,1,3,12,4,1,62.0,1,1,7,400,2,4,3,0,7,7,0,0,1,4,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11,2,3,1,2,11,3,0,36.0,1,2,1,400,1,4,3,1,7,5,0,0,1,2,0,0,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,1,5,1,6,11,1,1,30.0,1,1,6,400,2,4,3,3,4,4,0,0,1,4,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,4,2,1,5,4,1,0,31.0,1,2,4,400,3,4,3,2,7,4,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,4,1,1,2,2,4,0,44.0,1,2,8,400,4,4,3,2,7,5,0,0,1,4,0,0,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,1,7,1,2,4,1,0,37.0,1,2,4,400,2,4,3,0,8,5,0,0,1,4,0,0,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,3,7,1,3,8,3,1,35.0,1,2,3,400,2,4,3,0,6,4,0,0,1,1,0,2,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,3,3,1,2,2,4,0,43.0,0,5,9,400,1,4,3,0,6,5,0,0,1,4,0,0,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5,1,2,1,1,5,2,1,26.0,1,2,10,400,1,4,3,0,6,4,0,0,1,0,0,0,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,3,6,1,5,12,4,0,54.0,1,2,14,400,4,4,3,2,8,6,0,0,1,0,0,0,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
10,2,5,1,5,10,3,0,53.0,0,3,3,400,2,4,3,1,8,6,0,0,1,0,0,0,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10,1,4,1,5,10,2,1,42.0,1,0,3,400,4,4,3,1,7,5,0,0,1,1,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,1,2,1,1,2,4,0,31.0,1,0,2,400,4,4,3,2,7,4,0,0,1,1,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,4,2,1,3,10,1,0,21.0,0,1,8,400,3,4,3,2,5,3,0,0,1,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,1,3,1,1,8,2,0,41.0,1,2,8,400,1,4,3,2,7,5,0,0,1,1,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,3,6,1,4,9,5,0,44.0,1,1,3,400,2,4,3,1,7,5,0,0,1,4,0,0,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
9,2,4,1,2,9,4,0,28.0,1,1,9,400,4,4,3,2,6,4,0,0,1,0,4,1,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,2,1,1,3,2,3,0,42.0,0,1,4,400,3,4,3,0,7,5,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10,5,5,1,1,11,5,0,33.0,1,2,9,400,1,4,3,1,6,4,0,0,1,1,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5,5,6,1,2,6,3,0,60.0,0,1,14,500,1,4,3,1,8,7,0,0,1,0,3,0,1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10,2,2,1,4,10,2,0,45.0,1,2,7,400,3,4,3,2,5,5,0,0,1,1,0,0,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11,2,1,1,3,3,1,0,64.0,1,3,16,400,4,4,3,2,6,7,0,0,1,4,0,0,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
6,3,5,1,1,6,3,0,41.0,1,1,13,400,2,4,3,3,7,5,0,0,1,0,4,1,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3,1,7,0,3,3,2,0,31.0,1,1,4,400,3,4,3,2,6,4,0,0,1,0,0,0,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,1,4,1,1,0,30.0,1,2,2,400,3,4,3,3,7,4,0,0,1,4,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7,3,7,1,5,7,4,0,59.0,1,5,12,400,2,4,3,0,8,7,0,0,1,0,0,0,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2,3,4,1,5,2,3,0,26.0,1,2,9,400,1,4,3,3,7,4,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,2,1,1,2,4,3,0,32.0,1,1,8,400,1,4,3,2,6,4,0,0,1,1,0,0,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,5,3,1,5,9,1,0,27.0,1,1,3,400,4,4,3,1,6,4,0,0,1,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,3,6,1,3,6,4,0,30.0,1,1,10,400,2,4,3,0,7,4,0,0,1,4,4,1,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9,3,1,0,3,9,4,0,29.0,1,5,12,400,3,4,3,2,7,4,0,0,1,0,0,0,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
8,2,1,0,1,8,2,0,34.0,1,1,7,400,4,4,3,0,7,4,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,1,6,1,1,4,1,1,35.0,1,0,14,400,3,4,3,3,6,4,0,0,1,4,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,3,1,1,2,6,3,0,36.0,1,2,4,400,1,4,3,3,7,5,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
12,4,1,1,2,1,1,0,39.0,0,5,10,400,3,4,3,0,7,5,0,0,1,0,0,0,1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11,1,3,1,5,11,3,0,38.0,1,1,5,400,3,4,3,0,8,5,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9,1,1,1,1,9,1,0,47.0,1,2,10,400,2,4,3,2,8,6,0,0,1,4,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11,4,4,0,5,3,2,0,40.700331125827816,1,5,3,400,4,4,3,0,0,0,0,0,1,0,0,0,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,4,3,1,1,6,4,0,29.0,0,0,7,400,4,4,3,0,6,4,0,0,1,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7,1,1,1,1,7,1,1,37.0,1,1,9,400,4,4,3,3,6,5,0,0,1,4,0,0,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,1,1,1,2,2,2,1,33.0,1,1,11,400,3,4,3,1,7,4,0,0,1,2,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,4,1,0,5,2,1,0,40.700331125827816,1,5,15,400,3,4,3,0,0,0,0,0,1,0,0,0,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
10,4,7,1,4,10,4,1,31.0,1,0,3,400,3,4,3,0,7,4,0,0,1,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
8,1,5,1,2,8,3,0,49.0,1,1,15,400,4,4,3,2,7,6,0,0,1,4,0,0,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,1,6,1,1,8,2,0,49.0,1,1,8,400,1,4,3,2,7,6,0,0,1,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,3,6,1,4,5,3,0,35.0,1,1,13,400,3,4,3,2,7,4,0,0,1,1,0,0,1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,4,5,1,1,4,1,0,27.0,0,1,7,700,2,4,3,1,7,4,0,0,1,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,4,7,1,2,5,1,0,30.0,1,1,16,400,1,4,3,0,5,4,0,0,1,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
9,2,3,1,3,9,2,0,27.0,1,1,7,400,3,4,3,0,7,4,0,0,0,4,0,0,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
10,3,3,1,5,11,1,0,32.0,1,1,4,400,1,4,3,2,5,4,0,0,1,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
12,4,2,1,5,12,4,1,44.0,1,1,13,400,2,4,3,1,7,5,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,4,1,1,3,9,4,0,60.0,1,1,5,400,2,4,3,1,8,7,0,0,1,2,0,0,1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,2,4,1,2,5,3,1,34.0,1,1,8,400,3,4,3,3,6,4,1,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4,3,3,1,4,4,3,0,44.0,1,1,12,400,3,4,3,2,8,5,0,0,1,1,0,0,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5,1,4,0,1,5,2,0,40.700331125827816,1,5,11,400,2,4,3,1,0,0,0,0,1,0,0,0,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,1,1,1,2,7,1,1,30.0,1,1,16,400,4,4,3,1,4,4,0,0,0,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,1,3,1,5,8,1,0,73.0,1,2,5,400,1,4,3,0,8,8,0,0,1,4,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,5,6,0,2,2,2,0,30.0,0,2,10,400,2,4,3,2,7,4,0,0,1,4,0,0,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,3,4,1,3,6,4,0,55.0,1,1,5,400,4,4,3,1,8,6,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,2,3,0,4,5,2,0,50.0,1,5,12,400,3,4,3,1,8,6,0,0,1,4,0,0,1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,2,3,1,5,7,3,0,46.0,0,0,15,400,4,4,3,0,8,6,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,4,5,1,4,1,4,0,34.0,1,1,4,400,4,4,3,0,7,4,0,0,1,0,0,0,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,3,1,1,2,1,3,0,33.0,1,1,11,400,3,4,3,2,7,4,0,0,1,1,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10,2,3,1,2,10,3,0,49.0,1,4,8,400,1,4,3,2,7,6,0,0,1,1,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
12,4,3,1,5,12,5,0,78.0,1,1,4,400,4,4,3,2,8,8,0,0,1,0,0,0,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11,2,5,1,1,11,3,0,42.0,1,1,14,400,3,4,3,3,7,5,0,0,1,0,0,0,1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8,1,6,1,4,8,4,0,53.0,0,1,14,400,2,4,3,2,8,6,0,0,1,1,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12,4,2,1,1,1,1,0,43.0,1,2,16,400,4,4,3,3,7,5,0,0,1,4,0,0,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,4,6,1,5,5,4,0,64.0,1,2,5,400,4,4,3,3,8,7,1,0,1,4,0,0,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4,5,4,1,4,4,5,0,63.0,1,2,2,400,3,4,3,1,8,7,0,0,1,0,4,1,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
4,2,3,1,3,4,3,0,40.700331125827816,1,5,1,400,4,4,3,2,0,0,0,0,1,0,0,0,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
